year,annual_change,initialPE,initialFCF,initialPB,initialPS
2020,16.26,36.483061224489795,27.11510204081633,3.0434693877551022,5.614081632653061
2019,28.88,29.166756756756758,24.615675675675675,5.187162162162163,4.7745945945945945
2018,-6.24,243.34698630136987,23.78835616438356,9.523013698630137,5.0509589041095895
2017,19.42,29.61054794520548,21.592739726027396,8.177945205479451,3.980958904109589
2016,9.54,31.25211267605634,19.331971830985914,2.7811267605633807,4.002253521126761
2015,-0.73,28.028805970149254,19.525671641791046,5.610746268656716,3.9550746268656716
2014,11.39,22.03151515151515,23.24848484848485,4.112272727272727,3.9486363636363637
2013,29.6,19.865692307692306,18.748615384615384,-6.476769230769231,2.9513846153846153
2012,13.41,15.774375000000001,14.50640625,2.5103125,2.89140625
2011,0.0,21.374603174603173,16.657460317460316,3.9717460317460316,3.227301587301587
2010,12.78,22.354590163934425,53.21508196721311,3.955081967213115,3.0337704918032786
2009,23.45,12.592131147540984,16.589180327868853,-13.461475409836066,1.8863934426229507
2008,-38.49,29.632758620689657,19.53655172413793,9.944827586206896,3.4839655172413795
2007,3.53,40.135925925925925,21.325,5.276111111111111,3.7687037037037037
